юнь	yun		yūn 晕,氲,赟,贇,缊,馧,縕,蝹,緼,蒕,暈	yún 云,匀,芸,鋆,耘,纭,筠,郧,昀,雲,蒷,筼,眃,縜,伝,勻	yǔn 允,陨,殒,狁,馻,霣,賱	yùn 运,孕,晕,韵,蕴,酝,熨,愠,恽,郓,韫,運,蕰,藴,韻,缊,腪,縕,緷,薀,醖,韗,緼,醞,暈,蘊	
цза	za		zā 扎,咂,匝,臜,紮,鉔,魳,帀	zá 杂,咱,砸,雜,襍,雑,韴	zǎ 咋		
цзай	zai		zāi 灾,栽,哉,甾,賳,災		zǎi 载,仔,宰,崽,載	zài 在,再,载,載,縡,酨	
цзань	zan		zān 簪,糌,篸	zán 咱,偺	zǎn 攒,昝,趱,拶,攢	zàn 赞,暂,瓒,錾,讚,酂,酇,贊,饡,賛,暫,讃	
цзан	zang		zāng 脏,赃,臧,髒,臢,贓		zǎng 驵	zàng 藏,脏,葬,奘,臟,臓	
цзао	zao		zāo 遭,糟,蹧	záo 凿,鑿	zǎo 早,藻,澡,枣,蚤,棗	zào 造,躁,燥,灶,噪,皂,唣,譟,趮,艁	
цзэ	ze			zé 则,责,泽,择,咋,啧,赜,笮,舴,帻,迮,責,箦,礋,齰,蠌,則,沢,択,擇,澤		zè 仄,昃,稄	
цзэй	zei			zéi 贼,鲗,蠈,賊			
цзэнь	zen				zěn 怎	zèn 谮	
цзэн	zeng		zēng 增,曾,憎,缯,罾,矰,譄,繒,磳,増	zéng 鄫		zèng 综,赠,锃,甑,缯,綜,贈,繒	
чжа	zha		zhā 查,扎,渣,喳,楂,吒,揸,紮,齄,哳	zhá 炸,扎,札,轧,闸,铡,霅,譗,軋,閘	zhǎ 眨,砟,鲝,鲊,苲	zhà 炸,诈,咋,乍,栅,榨,蚱,咤,吒,醡,痄,詐,搾,柵	
чжай	zhai		zhāi 侧,摘,斋,齋,側,斎	zhái 宅,翟	zhǎi 窄	zhài 债,祭,寨,砦,瘵,債	
чжань	zhan		zhān 占,粘,沾,詹,瞻,毡,旃,谵,霑,饘,鹯,邅,鳣,鱣,驙,譫,飦,鸇,薝,詀	zhán 讝	zhǎn 展,斩,盏,崭,辗,輾,搌,飐,盞,醆,斬,嶄	zhàn 战,站,占,绽,湛,栈,蘸,襢,蹔,菚,桟,戦,綻,戰,佔	
чжан	zhang		zhāng 张,章,彰,璋,漳,樟,蟑,鄣,獐,嫜,餦,麞,粻,鏱,蔁,騿,張		zhǎng 长,掌,涨,長,仉,鞝,漲	zhàng 障,丈,帐,仗,涨,胀,账,杖,瘴,嶂,幛,脹,瞕,帳,漲,賬	
чжао	zhao		zhāo 着,朝,招,昭,嘲,钊,駋	zháo 着	zhǎo 找,沼,菬,爫	zhào 照,赵,召,罩,兆,诏,肇,濯,笊,棹,鮡,趙,詔	
чжэ	zhe		zhē 折,遮,蜇	zhé 哲,折,乙,辙,辄,蛰,摺,蜇,谪,乇,磔,謺,袩,粍,詟,矺,輒,轍,乛,⺄	zhě 者,褶,赭,锗	zhè 这,浙,蔗,這,鹧,柘,蟅	zhe 着
чжэй	zhei						
чжэнь	zhen		zhēn 真,针,珍,侦,贞,斟,臻,帧,桢,祯,甄,箴,砧,榛,針,胗,溱,蓁,鉁,禛,鱵,葴,貞,禎,鍼,眞,偵,槙		zhěn 诊,枕,疹,缜,稹,診,畛,轸,袗,覙,紾,眕,槙	zhèn 阵,镇,震,振,圳,朕,赈,鸩,鎮,陣,鎭,酖,絼,紖,眹,賑	
чжэн	zheng		zhēng 正,争,征,症,挣,睁,怔,蒸,铮,筝,狰,峥,钲,箏,篜,徴,爭,睜,掙		zhěng 整,拯	zhèng 正,政,证,郑,症,挣,怔,诤,證,証,掙,鄭,癥	
чжи	zhi		zhī 之,只,知,支,织,枝,氏,芝,脂,肢,汁,吱,蜘,祗,胝,卮,栀,織,隻,跂,鴲,胑,衼,菭,鼅,鳷	zhí 直,值,职,执,植,殖,侄,踯,摭,跖,蹠,絷,埴,職,禃,膱,稙,値,執,姪	zhǐ 只,指,止,纸,旨,址,趾,徵,咫,酯,芷,祉,枳,阯,黹,紙,轵,藢,凪,夂	zhì 制,至,治,识,质,致,志,置,智,秩,滞,掷,稚,帜,挚,峙,窒,炙,痔,痣,蛭,郅,觯,雉,栉,桎,質,鸷,帙,贽,陟,織,骘,彘,轾,踬,製,忮,誌,铚,穉,袠,鉄,芖,紩,鑕,翐,秲,緻,騺,聜,跱,鋕,袟,锧,覟,贄,驇,隲,鴙,摯,櫛,滯,幟,擲	
чжун	zhong		zhōng 中,终,钟,忠,衷,盅,锺,忪,螽,舯,終,鐘,螤,蹱,鈡,柊,鍾		zhǒng 种,肿,冢,踵,種,腫,塚	zhòng 中,种,重,众,仲,種,眾,諥,茽,衆	
чжоу	zhou		zhōu 周,洲,州,舟,粥,诌,啁,週,赒,诪,辀,盩,鸼,輈,輖,譸,翢	zhóu 轴,妯,碡,軸	zhǒu 肘,帚,箒	zhòu 宙,皱,骤,咒,轴,昼,胄,纣,绉,繇,籀,軸,驟,酎,籒,紂,荮,呪,皺,晝	
чжу	zhu		zhū 诸,朱,珠,猪,株,蛛,诛,铢,侏,潴,茱,洙,橥,槠,諸,邾,硃,豬,鼄,秼,蠩	zhú 术,逐,竹,烛,竺,術,躅,舳,蠋,窋,蠾,磩,茿,笜,燭,朮	zhǔ 主,属,嘱,煮,瞩,褚,拄,渚,麈,詝,陼,矚,鸀,砫,屬,囑,丶	zhù 住,注,助,著,筑,驻,祝,柱,铸,贮,蛀,伫,杼,箸,炷,苎,翥,纻,貯,跓,麆,疰,築,竚,紵,鑄,飳,駐,羜,註,祩,鋳,佇	
чжуа	zhua		zhuā 抓,挝,膼,髽		zhuǎ 爪		
чжуай	zhuai		zhuāi 拽		zhuǎi 转,拽,轉	zhuài 拽,睉	
чжуань	zhuan		zhuān 专,砖,颛,顓,磚,耑,鄟,鱄,専,專		zhuǎn 转,轉,転	zhuàn 传,转,赚,撰,篆,馔,啭,轉,蒃,譔,賺,饌,傳	
чжуан	zhuang		zhuāng 装,庄,桩,妆,裝,莊,荘,粧,妝,樁		zhuǎng 奘	zhuàng 状,壮,撞,幢,僮,戆,壯,狀	
чжуй	zhui		zhuī 追,椎,锥,骓,隹,錐			zhuì 坠,缀,赘,惴,缒,贅,礈,錣,縋,諈,笍,綴,餟,墜	
чжунь	zhun		zhūn 屯,谆,肫,窀,諄,迍		zhǔn 准,準		
чжо	zhuo		zhuō 桌,捉,拙,涿,倬,棹,穱,穛	zhuó 着,卓,灼,琢,酌,浊,啄,镯,茁,擢,斫,濯,浞,诼,鷟,諑,蓔,鐲,蠗,濁			
цзы	zi		zī 资,仔,兹,姿,滋,咨,吱,孜,淄,辎,谘,龇,髭,孳,缁,呲,粢,赀,锱,訾,嵫,資,趑,鲻,茲,鯔,菑,觜,趦,茊,薋,葘,秶,諮,镃,貲,纃,禌,鄑,齜		zǐ 子,仔,紫,姊,籽,梓,滓,笫,訾,秭,茈	zì 自,字,渍,恣,眦,眥,胔,胾,荢,漬	zi 子
цзун	zong		zōng 宗,综,踪,棕,鬃,綜,鯮,蹤,腙,磫,繌,踨,鬉,騣,緵,骔		zǒng 总,偬,總,縂,蓗,総,惣	zòng 从,纵,粽,縱,繌,糉,緵,縦,從	
цзоу	zou		zōu 邹,诹,鲰,驺,鄹,陬,菆,齺,諏,緅		zǒu 走,鯐	zòu 奏,揍,楱	
цзу	zu		zū 租,菹	zú 足,族,卒,镞,箤,稡	zǔ 组,祖,阻,诅,俎,組,詛		
цзуань	zuan		zuān 钻,躜,鑽,躦		zuǎn 纂,缵,纘,繤,纉	zuàn 钻,赚,攥,鑽,賺	
цзуй	zui		zuī 纗		zuǐ 嘴,觜	zuì 最,罪,醉,蕞,鋷,稡,酔	
цзунь	zun		zūn 尊,遵,樽,鳟,鶎,鐏,鷷,罇,繜		zǔn 撙,繜,噂	zùn 俊,銌	
цзо	zuo		zuō 作,嘬	zuó 昨,琢,稓,筰	zuǒ 左,佐,撮	zuò 作,做,坐,座,唑,酢,祚,柞,胙,怍,阼,蓙	
	xx						
	r						
