э	e		ē 阿,婀,屙	é 额,俄,哦,鹅,娥,峨,蛾,讹,莪,锇,蚵,額,訛,譌,睋,鵝	ě 恶,頋,惡	è 恶,饿,厄,遏,愕,扼,鄂,呃,噩,鳄,颚,萼,谔,垩,鹗,锷,轭,阏,腭,苊,阨,鰪,蕚,顎,詻,軛,阸,頞,鶚,鍔,礘,鈪,讍,餓,悪,惡,鱷	
эй	ei		ēi 诶	éi 诶	ěi 诶	èi 诶	
энь	en		ēn 恩,嗯,蒽			èn 嗯,摁	en 嗯
эн	eng						
эр	er			ér 而,儿,鸸,粫,鲕,輀,胹,児,兒	ěr 尔,耳,饵,珥,迩,洱,铒,薾,邇,餌,趰,爾	èr 二,贰,佴,貮,弐,貳	
фа	fa		fā 发,酦,醱,発,發	fá 罚,乏,伐,阀,筏,垡,茷,瞂,罰,閥	fǎ 法,砝	fà 发,珐,髮,髪,蕟	
фань	fan		fān 翻,番,帆,藩,幡,蕃,籓,繙,轓	fán 凡,烦,繁,樊,蕃,燔,矾,钒,蘩,蹯,鐇,膰,鷭,蠜,薠,緐,笲,煩	fǎn 反,返,払	fàn 范,犯,饭,泛,贩,梵,畈,範,飯,販,訉,軓,盕,飰,軬,輽,氾,汎	
фан	fang		fāng 方,芳,坊,枋,匚,钫,趽,邡	fáng 房,防,妨,坊,肪,鲂	fǎng 访,仿,纺,舫,髣,訪,眆,倣,紡	fàng 放,趽	
фэй	fei		fēi 非,飞,菲,啡,妃,绯,扉,霏,鲱,飛,鯡,騛,裶,緋	féi 肥,腓,淝	fěi 菲,匪,斐,诽,翡,蜚,榧,悱,篚,蕜,誹	fèi 费,废,肺,沸,狒,吠,芾,砩,怫,痱,镄,費,鐨,廃,廢	
фэнь	fen		fēn 分,纷,芬,氛,吩,酚,玢,雰,紛,翂,訜,鈖,砏	fén 坟,焚,汾,棼,蕡,鼢,鼖,魵,蚡,墳	fěn 粉,羵,黺	fèn 分,份,奋,愤,粪,忿,偾,糞,膹,瞓,鲼,奮,憤	
фэн	feng		fēng 风,封,丰,峰,疯,锋,蜂,枫,烽,沣,酆,風,葑,砜,豐,鄷,蠭,盽,碸,鋒,楓,瘋,峯	féng 冯,缝,逢,縫,馮,艂	fěng 讽,唪,覂,諷	fèng 奉,凤,缝,俸,縫,赗,鳳	
	fiao					fiào 覅	
фо	fo			fó 佛,仏			
фоу	fou				fǒu 否,缶,缻		
